suite,model_key,dataset,raw_path,status_path,status,raw_rows,run_status
original,qwen25_15b,truthfulqa_mc,runs/groundlm_evidence_recovery_v1/original/qwen25_15b/truthfulqa_mc/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/original/qwen25_15b/truthfulqa_mc/run_status.json,complete,500,success
original,qwen25_15b,mmlu_pro,runs/groundlm_evidence_recovery_v1/original/qwen25_15b/mmlu_pro/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/original/qwen25_15b/mmlu_pro/run_status.json,complete,500,success
original,qwen25_7b,truthfulqa_mc,runs/groundlm_evidence_recovery_v1/original/qwen25_7b/truthfulqa_mc/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/original/qwen25_7b/truthfulqa_mc/run_status.json,complete,500,success
original,qwen25_7b,mmlu_pro,runs/groundlm_evidence_recovery_v1/original/qwen25_7b/mmlu_pro/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/original/qwen25_7b/mmlu_pro/run_status.json,complete,500,success
original,qwen25_14b,truthfulqa_mc,runs/groundlm_evidence_recovery_v1/original/qwen25_14b/truthfulqa_mc/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/original/qwen25_14b/truthfulqa_mc/run_status.json,complete,500,success
original,qwen25_14b,mmlu_pro,runs/groundlm_evidence_recovery_v1/original/qwen25_14b/mmlu_pro/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/original/qwen25_14b/mmlu_pro/run_status.json,complete,500,success
original,mistral7b_v03,truthfulqa_mc,runs/groundlm_evidence_recovery_v1/original/mistral7b_v03/truthfulqa_mc/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/original/mistral7b_v03/truthfulqa_mc/run_status.json,complete,500,success
original,mistral7b_v03,mmlu_pro,runs/groundlm_evidence_recovery_v1/original/mistral7b_v03/mmlu_pro/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/original/mistral7b_v03/mmlu_pro/run_status.json,complete,500,success
expanded,llama31_8b,truthfulqa_mc,runs/groundlm_evidence_recovery_v1/expanded/llama31_8b/truthfulqa_mc/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/expanded/llama31_8b/truthfulqa_mc/run_status.json,complete,500,success
expanded,llama31_8b,mmlu_pro,runs/groundlm_evidence_recovery_v1/expanded/llama31_8b/mmlu_pro/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/expanded/llama31_8b/mmlu_pro/run_status.json,complete,500,success
expanded,gemma2_2b,truthfulqa_mc,runs/groundlm_evidence_recovery_v1/expanded/gemma2_2b/truthfulqa_mc/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/expanded/gemma2_2b/truthfulqa_mc/run_status.json,complete,500,success
expanded,gemma2_2b,mmlu_pro,runs/groundlm_evidence_recovery_v1/expanded/gemma2_2b/mmlu_pro/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/expanded/gemma2_2b/mmlu_pro/run_status.json,complete,500,success
expanded,gemma2_9b,truthfulqa_mc,runs/groundlm_evidence_recovery_v1/expanded/gemma2_9b/truthfulqa_mc/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/expanded/gemma2_9b/truthfulqa_mc/run_status.json,complete,500,success
expanded,gemma2_9b,mmlu_pro,runs/groundlm_evidence_recovery_v1/expanded/gemma2_9b/mmlu_pro/evidence_grounded_recovery_raw.jsonl,runs/groundlm_evidence_recovery_v1/expanded/gemma2_9b/mmlu_pro/run_status.json,complete,500,success
