model_key,model_short_name,dataset,category,best_condition,best_level,evaluated_n,intervention_p_wrong,intervention_p_correct,accuracy,restoration_ratio,restoration_ratio_informative,repair_classification,mro_success
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,context_removal,context_truncation,R3,500,0.08780586547162156,0.30951541075061856,0.308,1.0044590195413954,True,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,neutral_summary,neutral_summary_replacement,R4,500,0.09535092574687157,0.3000153492733246,0.302,0.9930134348173418,True,flattening_or_suppression,False
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,source_skepticism,source_skepticism_reset,R2,500,0.7388245886251155,0.09033792392498077,0.088,0.016887061071976222,True,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,state_reconstruction,factual_state_reconstruction,R5,500,0.09145612213243691,0.29945369426935897,0.306,0.9989217116403636,True,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,system_reset,system_level_reset,R2,500,0.7386169058121664,0.09276194838539134,0.09,0.01720210842012469,True,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,user_retraction,explicit_user_retraction,R1,500,0.7143863228610093,0.1028369204224212,0.1,0.05395903016273941,True,weak_wrong_suppression,False
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,verification,evidence_for_each_option_then_answer,R6,500,0.7637480574714718,0.08638469321001517,0.088,-0.020920943621376305,True,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,context_removal,fresh_context_deletion,R3,500,0.10493169119788996,0.6497950458048971,0.65,1.0,True,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,neutral_summary,neutral_summary_replacement,R4,500,0.10517075038949164,0.6629225929253886,0.662,0.9990322528832603,True,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,source_skepticism,source_skepticism_reset,R2,500,0.3464788086691657,0.4387171413496432,0.442,0.022181389790987636,True,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,state_reconstruction,factual_state_reconstruction,R5,500,0.1106161967067543,0.6322884909136153,0.628,0.9769882773406966,True,restored_clean_context_like,True
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,system_reset,system_level_reset,R2,500,0.3376086010812253,0.45758350580959223,0.452,0.0580893076610352,True,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,user_retraction,explicit_user_retraction,R1,500,0.3223259190820445,0.45866523857680774,0.452,0.11995587443752487,True,weak_wrong_suppression,False
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,verification,evidence_for_each_option_then_answer,R6,500,0.37136758270789594,0.4239699078919257,0.424,-0.07857206442173517,True,no_material_change,False
qwen25_14b,Qwen2.5-14B,mmlu_pro,context_removal,context_truncation,R3,500,0.08212298131775098,0.45912015038038384,0.458,1.0073174736346804,True,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,mmlu_pro,neutral_summary,neutral_summary_replacement,R4,500,0.08369841562659396,0.4619861665175606,0.458,1.0015276915678564,True,restored_clean_context_like,True
